course,sub_course,module,sub_module,content_html_list,img_list,video_url
Intro to AJAX,Intro to AJAX,Lesson 1: Requests and APIs,1.1  Pre-Introduction,[],[],https://www.youtube.com/embed/P5JlebbqzTQ
Intro to AJAX,Intro to AJAX,Lesson 1: Requests and APIs,1.2  Intro,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">You don\'t need it yet, but if you\'re interested in poking around the move planner app, you can find the starter code in the Supporting Materials section: Udacity_AJAX_INIT</p>\n<p class=""chakra-text css-o3oz8b"">Clicking on Udacity_AJAX_INIT will download a .zip file. Uncompress it and you\'ll find a directory with HTML, CSS and JS files. You\'ll be editing <strong>js/script.js</strong>.</p>\n<p class=""chakra-text css-o3oz8b"">Open <strong>index.html</strong> with your browser to test the page.</p></div>', '<div class=""ureact-markdown css-tc5hjw""><h4 class=""chakra-heading css-1dlhxqh"">Supporting Materials</h4>\n<ul role=""list"" class=""css-19qh3zo""><li class=""css-cvpopp""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://www.udacity.com/api/nodes/3180658579/supplemental_media/udacity-ajax-initzip/download"">Udacity_AJAX_INIT.zip<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></li></ul></div>']",[],https://www.youtube.com/embed/Ab04b8PpzCQ
Intro to AJAX,Intro to AJAX,Lesson 1: Requests and APIs,1.3  Client Server Demonstration ,[],[],https://www.youtube.com/embed/nozbz6J3_4w
Intro to AJAX,Intro to AJAX,Lesson 1: Requests and APIs,1.4  AJAX Definition,[],[],https://www.youtube.com/embed/LFAdLUUbEUo
Intro to AJAX,Intro to AJAX,Lesson 1: Requests and APIs,1.5  Asynchronous vs Synchronous Requests,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Before we start diving into asynchronous requests, let\'s consider some real-world scenarios that might require one.</p>\n<p class=""chakra-text css-o3oz8b"">Remember, an asynchronous request can be fired off <strong>at any time</strong> (before or after a page has loaded) and the response to an asynchronous request often includes HTML that can be dynamically inserted into a page.</p>\n<p class=""chakra-text css-o3oz8b""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://www.facebook.com"">Facebook<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> uses a lot of asynchronous requests so that the page almost never needs to refresh for users to see new content.</p>\n<p class=""chakra-text css-o3oz8b"">Take a moment to consider when Facebook might take advantage of asynchronous requests to load new content without refreshing the page. Think about user actions that might lead to asynchronous requests. For instance, when a user scrolls down in a business\' page (like <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://www.facebook.com/Udacity"">Udacity\'s Facebook page<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a>), new stories get inserted into the page which never needs to refresh to show new content (more on this specific example in a moment). This is an example of an asynchronous request.</p>\n<p class=""chakra-text css-o3oz8b"">Click ""Skip to Quiz"" when you\'re ready to identify some more examples!</p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Here\'s some help:</p>\n<ul role=""list"" class=""css-19qh3zo""><li class=""css-cvpopp""><strong>Scrolling down in the Newsfeed</strong>: when you scroll down, new stories are automatically loaded.</li><li class=""css-cvpopp""><strong>Loading the homepage when <em class=""chakra-text css-o3oz8b"">not</em> signed in</strong>: open <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://www.facebook.com"">Facebook<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> in <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://support.google.com/chrome/answer/95464?source=gsearch"">Incognito Mode<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> to see what I mean.</li><li class=""css-cvpopp""><strong>Posting a message on a friend\'s Timeline</strong>: Does the page reload when you post? How does the page change after you hit ""Post""?</li><li class=""css-cvpopp""><strong>Clicking through a friend\'s pictures</strong>: Does the page ever need to refresh when you are scrolling through a friend\'s pictures?</li></ul></div>']",[],
Intro to AJAX,Intro to AJAX,Lesson 1: Requests and APIs,1.6  Facebook Example 1,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">You can browse Udacity\'s Facebook page <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://www.facebook.com/Udacity"">here<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a>.</p></div>']",[],https://www.youtube.com/embed/cDBXoHybjUA
Intro to AJAX,Intro to AJAX,Lesson 1: Requests and APIs,1.7  Facebook Example 2,[],[],https://www.youtube.com/embed/xjSWu-_5V5s
Intro to AJAX,Intro to AJAX,Lesson 1: Requests and APIs,1.8  Facebook's AJAX Request,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Let\'s break down Facebook\'s PagePostsSectionPagelets AJAX request. Follow along with me in your own browser, and make sure that you\'re using the <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://www.facebook.com/Udacity"">Udacity page<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a>, not your Newsfeed (which runs AJAX requests under a different name).</p>\n<p class=""chakra-text css-o3oz8b"">!<a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://i.imgur.com/OppIVkk.png"">Network tab<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a>\nThe Network tab. Notice how I\'m using the XHR <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://developer.chrome.com/devtools/docs/console#filtering-console-output"">filter<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> to limit what I see.</p>\n<p class=""chakra-text css-o3oz8b""><img alt=""PagePostsSectionPagelets"" src=""http://i.imgur.com/gSz0bdK.png"" class=""chakra-image css-0"" node=""[object Object]"">\nThe AJAX request I want to analyze. I\'m looking at the second instance because the first returned nothing. My guess is that it came from the initial page load. The second was initiated when I scrolled down.</p>\n<p class=""chakra-text css-o3oz8b"">Starting in the Headers tab, we see the AJAX request\'s URL.</p>\n<p class=""chakra-text css-o3oz8b""><img alt=""Header of PagePostsSelectionPagelets"" src=""http://i.imgur.com/pDLVuB9.png"" class=""chakra-image css-0"" node=""[object Object]""></p>\n<p class=""chakra-text css-o3oz8b"">We can see that it\'s a GET request that resolved with a code of 200, meaning it succeeded. The <code class=""chakra-code css-1u83yg1"">data</code> parameter (see below) provides more detailed information to Facebook about the specific request. And you\'ll see a field for user-agent, which describes your browser.</p>\n<p class=""chakra-text css-o3oz8b""><img alt=""user-agent of AJAX request"" src=""http://i.imgur.com/rVaxMIi.png"" class=""chakra-image css-0"" node=""[object Object]""></p>\n<p class=""chakra-text css-o3oz8b"">Clicking on the Preview tab, you can see Facebook\'s JSON response in a collapsed view. You can uncollapse the different properties (by clicking on the triangles next to them) to easily examine the response in more detail.</p>\n<p class=""chakra-text css-o3oz8b""><img alt=""preview pane for AJAX request"" src=""http://i.imgur.com/NWIVpGe.png"" class=""chakra-image css-0"" node=""[object Object]"">\nCheckout the <code class=""chakra-code css-1u83yg1"">payload</code> property. It\'s HTML! This is new HTML for posts that get dynamically inserted into the page as you scroll down. You might see a few weird strings like <code class=""chakra-code css-1u83yg1"">/u003C</code>. They\'re unicode representations of characters like <code class=""chakra-code css-1u83yg1"">&lt;</code> or <code class=""chakra-code css-1u83yg1"">&gt;</code>.</p>\n<p class=""chakra-text css-o3oz8b"">If you glance through the HTML, you should be able to identify the new stories that got added to the page.</p>\n<p class=""chakra-text css-o3oz8b""><img alt=""the raw AJAX response"" src=""http://i.imgur.com/V08cEYC.png"" class=""chakra-image css-0"" node=""[object Object]""></p>\n<p class=""chakra-text css-o3oz8b"">And then we have the Response tab, which is the raw JSON response from Facebook.</p>\n<p class=""chakra-text css-o3oz8b"">Try exploring the PagePostsSelectionPagelets AJAX request further. What other pieces of useful information can you identify? Post your findings in the forums!</p>\n<p class=""chakra-text css-o3oz8b"">I\'ve saved the Network requests from this example in a HTTP Archive (.har) file, which you can find in the Downloadables section. Download it and load it with the <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://ericduran.github.io/chromeHAR/"">Chrome HAR Viewer<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> to inspect the same example that I analyzed!</p></div>', '<div class=""ureact-markdown css-tc5hjw""><h4 class=""chakra-heading css-1dlhxqh"">Supporting Materials</h4>\n<ul role=""list"" class=""css-19qh3zo""><li class=""css-cvpopp""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://www.udacity.com/api/nodes/3183838548/supplemental_media/udacity-facebookhar/download"">Udacity_Facebook.har<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></li></ul></div>']","['http://i.imgur.com/gSz0bdK.png', 'http://i.imgur.com/pDLVuB9.png', 'http://i.imgur.com/rVaxMIi.png', 'http://i.imgur.com/NWIVpGe.png', 'http://i.imgur.com/V08cEYC.png']",
Intro to AJAX,Intro to AJAX,Lesson 1: Requests and APIs,1.9  Twitter Quiz,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Here\'s the <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://twitter.com/udacity"">Udacity twitter feed<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a>.</p>\n<p class=""chakra-text css-o3oz8b""><em class=""chakra-text css-o3oz8b"">Cameron says: there\'s always the chance that Twitter changed their JSON response since this course was released. If you can\'t seem to get the right answer, don\'t worry. Just click ""Continue to Answer"" to move on.</em></p></div>']",[],https://www.youtube.com/embed/pXW2mYCwbqE
Intro to AJAX,Intro to AJAX,Lesson 1: Requests and APIs,1.10  Necessary components of an AJAX request,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Read <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://api.jquery.com/jquery.ajax/"">jQuery\'s AJAX Documentation<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> carefully to figure out what AJAX requests require.</p></div>']",[],https://www.youtube.com/embed/CeYMXr6oy4o
Intro to AJAX,Intro to AJAX,Lesson 1: Requests and APIs,1.11  API Inspiration,"['<div class=""ureact-markdown css-tc5hjw""><h3 class=""chakra-heading css-k57syw""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://developers.google.com/apis-explorer/"">Google\'s APIs<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></h3>\n<p class=""chakra-text css-o3oz8b"">All the Google services you can imagine.</p>\n<h3 class=""chakra-heading css-k57syw""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://www.programmableweb.com/apis/directory"">Giant database of APIs<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></h3>\n<p class=""chakra-text css-o3oz8b"">This is definitely worth skimming for some inspiration.</p></div>']",[],https://www.youtube.com/embed/11zjWtx4cIc
Intro to AJAX,Intro to AJAX,Lesson 1: Requests and APIs,1.12  Finding Examples of API Use,"['<div class=""ureact-markdown css-tc5hjw""><h3 class=""chakra-heading css-k57syw""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://www.yelp.com"">Link to Yelp<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></h3></div>']",[],https://www.youtube.com/embed/mBKrS0k-rlU
Intro to AJAX,Intro to AJAX,Lesson 1: Requests and APIs,1.13  API Brainstorm,"['<div class=""ureact-markdown css-tc5hjw""><h3 class=""chakra-heading css-k57syw""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://developers.google.com/apis-explorer/"">Google\'s APIs<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></h3>\n<p class=""chakra-text css-o3oz8b"">All the Google services you can imagine.</p>\n<h3 class=""chakra-heading css-k57syw""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://www.programmableweb.com/apis/directory"">Giant database of APIs<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></h3>\n<p class=""chakra-text css-o3oz8b"">This is definitely worth skimming for some inspiration.</p>\n<p class=""chakra-text css-o3oz8b"">Also, did you know that <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://catalog-api.udacity.com/v1/catalog"">Udacity has an API<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a>? It\'s available for anyone to use. We want to make it easy for developers to access and share our catalog of courses.\n<br>\nExamples:<br>\n<code class=""chakra-code css-1u83yg1"">https://catalog-api.udacity.com/v1/catalog</code><br>\n<code class=""chakra-code css-1u83yg1"">https://catalog-api.udacity.com/v1/courses</code><br>\n<code class=""chakra-code css-1u83yg1"">https://catalog-api.udacity.com/v1/degrees</code><br>\n<code class=""chakra-code css-1u83yg1"">https://catalog-api.udacity.com/v1/tracks</code><br>\n<br>\nSupports ""locale"" parameter<br>\n<code class=""chakra-code css-1u83yg1"">https://catalog-api.udacity.com/v1/catalog?locale=en-US</code><br>\n<code class=""chakra-code css-1u83yg1"">https://catalog-api.udacity.com/v1/catalog?locale=zh-cn</code><br>\n<em class=""chakra-text css-o3oz8b"">Note: locale parameter is case-insensitive and defaults/has fallback to ""en-us""</em><br>\n<br>\nSupports Course/Degree lookup by key<br>\n<code class=""chakra-code css-1u83yg1"">https://catalog-api.udacity.com/v1/courses/cs101?locale=en-US</code><br>\n<code class=""chakra-code css-1u83yg1"">https://catalog-api.udacity.com/v1/degrees/nd000?locale=zh-cn</code></p></div>']",[],https://www.youtube.com/embed/ddryb36ceYg
Intro to AJAX,Intro to AJAX,Lesson 1: Requests and APIs,1.14  Download the Project,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Actually, it\'s not a GitHub repo! The project is a zip file that you can find in the Downloadables section: Udacity_AJAX_INIT</p>\n<p class=""chakra-text css-o3oz8b"">Clicking on Udacity_AJAX_INIT will download a .zip file. Uncompress it and you\'ll find a directory with HTML, CSS and JS files. You\'ll be editing <strong>js/script.js</strong>.</p>\n<p class=""chakra-text css-o3oz8b"">Open <strong>index.html</strong> with your browser to test the page.</p></div>', '<div class=""ureact-markdown css-tc5hjw""><h4 class=""chakra-heading css-1dlhxqh"">Supporting Materials</h4>\n<ul role=""list"" class=""css-19qh3zo""><li class=""css-cvpopp""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://www.udacity.com/api/nodes/3180658597/supplemental_media/udacity-ajax-initzip/download"">Udacity_AJAX_INIT.zip<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></li></ul></div>']",[],https://www.youtube.com/embed/nz_nXXJyYS0
Intro to AJAX,Intro to AJAX,Lesson 2: Building the Move Planner App,2.1  Requests with jQuery,"['<div class=""ureact-markdown css-tc5hjw""><h3 class=""chakra-heading css-k57syw""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://api.jquery.com/jquery.ajax/"">jQuery\'s .ajax() method<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></h3>\n<h3 class=""chakra-heading css-k57syw""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://api.jquery.com/jquery.getjson/"">jQuery\'s .getJSON() method<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></h3></div>']",[],https://www.youtube.com/embed/Z7gXDjGvjes
Intro to AJAX,Intro to AJAX,Lesson 2: Building the Move Planner App,2.2  Loading Streetview ,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Google Streetview image requests must include the <strong><code class=""chakra-code css-1u83yg1"">size</code></strong> and <strong><code class=""chakra-code css-1u83yg1"">location</code></strong> parameters.</p>\n<p class=""chakra-text css-o3oz8b"">In the video, Cameron adds the concatenated <code class=""chakra-code css-1u83yg1"">streetStr</code> and <code class=""chakra-code css-1u83yg1"">cityStr</code> values to the string: <code class=""chakra-code css-1u83yg1"">http://maps.googleapis.com/maps/api/streetview?size=600x300&amp;location=</code> to create a complete image request that includes the required parameters.</p>\n<p class=""chakra-text css-o3oz8b"">Learn how to collect <code class=""chakra-code css-1u83yg1"">&lt;input&gt;</code> values with jQuery <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://api.jquery.com/val/"">here<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a>.</p>\n<p class=""chakra-text css-o3oz8b"">Interested in diving into the Google Street View API? Check out its <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://developers.google.com/maps/documentation/streetview/"">documentation<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></p>\n<p class=""chakra-text css-o3oz8b"">You can find the AJAX project in the Downloadables section: Udacity_AJAX_INIT\nClicking on Udacity_AJAX_INIT will download a .zip file. Uncompress it and you\'ll find a directory with HTML, CSS and JS files. You\'ll be editing <strong>js/script.js</strong>.\nOpen <strong>index.html</strong> with your browser to test the page.\nYou\'ll also need to use <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://api.jquery.com/append/"">jQuery\'s append method<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> to add an <code class=""chakra-code css-1u83yg1"">&lt;img&gt;</code> to the page. Make sure it has a class of <code class=""chakra-code css-1u83yg1"">bgimg</code>. For example: <code class=""chakra-code css-1u83yg1"">$body.append(\'&lt;img class=""bgimg"" src=""http://example.com/someimage.png""&gt;\');</code>\nNotice how the new <code class=""chakra-code css-1u83yg1"">&lt;img&gt;</code> HTML element is just a string passed into <code class=""chakra-code css-1u83yg1"">.append()</code>.</p></div>', '<div class=""ureact-markdown css-tc5hjw""><h4 class=""chakra-heading css-1dlhxqh"">Supporting Materials</h4>\n<ul role=""list"" class=""css-19qh3zo""><li class=""css-cvpopp""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://www.udacity.com/api/nodes/3177428558/supplemental_media/udacity-ajax-initzip/download"">Udacity_AJAX_INIT.zip<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></li></ul></div>']",[],https://www.youtube.com/embed/YreqZZ9tnAg
Intro to AJAX,Intro to AJAX,Lesson 2: Building the Move Planner App,2.3  NYT API Key,"['<div class=""ureact-markdown css-tc5hjw""><h3 class=""chakra-heading css-k57syw""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://developer.nytimes.com/"">Request a NY Times API Key<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></h3></div>']",[],https://www.youtube.com/embed/GXvX6ZvIhdA
Intro to AJAX,Intro to AJAX,Lesson 2: Building the Move Planner App,2.4  NYT Implementation,"['<div class=""ureact-markdown css-tc5hjw""><h3 class=""chakra-heading css-k57syw""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://developer.nytimes.com/article_search_v2.json"">The NYT article search API<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></h3>\n<p class=""chakra-text css-o3oz8b"">Start here to read how the NY Times want AJAX requests formatted.</p>\n<h3 class=""chakra-heading css-k57syw""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://api.jquery.com/jquery.getjson/"">.getJSON() documentation<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></h3>\n<p class=""chakra-text css-o3oz8b"">Then read up on how to format jQuery AJAX requests with <code class=""chakra-code css-1u83yg1"">.getJSON()</code>.</p>\n<p class=""chakra-text css-o3oz8b""><em class=""chakra-text css-o3oz8b"">Whoops! At 1:13 I say ""...an unsigned list."" It should be ""...an</em> <em class=""chakra-text css-o3oz8b"">unordered</em> <em class=""chakra-text css-o3oz8b"">list.""</em></p>\n<p class=""chakra-text css-o3oz8b"">You can find starter code for this part of the project in the Downloadables section: Udacity_AJAX_NYT</p></div>', '<div class=""ureact-markdown css-tc5hjw""><h4 class=""chakra-heading css-1dlhxqh"">Supporting Materials</h4>\n<ul role=""list"" class=""css-19qh3zo""><li class=""css-cvpopp""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://www.udacity.com/api/nodes/3131738547/supplemental_media/udacity-ajax-nytzip/download"">Udacity_AJAX_NYT.zip<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></li></ul></div>']",[],https://www.youtube.com/embed/P7S7_0Z2YPk
Intro to AJAX,Intro to AJAX,Lesson 2: Building the Move Planner App,2.5  Error Handling with NY Times ,"['<div class=""ureact-markdown css-tc5hjw""><h3 class=""chakra-heading css-k57syw""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://api.jquery.com/error/"">jQuery .error() documentation<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></h3>\n<p class=""chakra-text css-o3oz8b"">Read up on <code class=""chakra-code css-1u83yg1"">.error()</code> here.</p>\n<p class=""chakra-text css-o3oz8b"">NOTE: As of jQuery 1.8, .error() is deprecated. Use .fail() instead.</p>\n<h3 class=""chakra-heading css-k57syw"">Chaining</h3>\n<p class=""chakra-text css-o3oz8b"">What\'s ""chaining,"" you ask? It\'s when you attach a method to the end of another method. For instance:</p>\n<pre class=""css-0""><div data-defines-codeblock=""true"" tabindex=""0"" class=""css-1y373wj""><div style=""color: rgb(15, 43, 61); text-shadow: white 0px 1px; font-family: &quot;Fira Code&quot;, Consolas, Monaco, &quot;Andale Mono&quot;, &quot;Ubuntu Mono&quot;, monospace; font-size: 1em; text-align: left; white-space: pre; word-spacing: normal; word-break: normal; overflow-wrap: normal; line-height: 1.5; tab-size: 4; hyphens: none;""><code class=""language-javascript"" style=""color: rgb(15, 43, 61); background: none; text-shadow: white 0px 1px; font-family: &quot;Fira Code&quot;, Consolas, Monaco, &quot;Andale Mono&quot;, &quot;Ubuntu Mono&quot;, monospace; font-size: 1em; text-align: left; white-space: pre; word-spacing: normal; word-break: normal; overflow-wrap: normal; line-height: 1.5; tab-size: 4; hyphens: none;""><span class=""token"" style=""color: rgb(15, 43, 61); font-weight: bold;"">var</span><span> string1 </span><span class=""token"" style=""color: rgb(15, 43, 61); background: rgb(255, 255, 255);"">=</span><span> </span><span class=""token"" style=""color: rgb(221, 17, 68);"">""hello""</span><span class=""token"" style=""color: rgb(15, 43, 61);"">;</span><span>\n</span><span></span><span class=""token"" style=""color: rgb(15, 43, 61); font-weight: bold;"">var</span><span> string2 </span><span class=""token"" style=""color: rgb(15, 43, 61); background: rgb(255, 255, 255);"">=</span><span> string1</span><span class=""token"" style=""color: rgb(15, 43, 61);"">.</span><span class=""token method property-access"" style=""color: rgb(153, 0, 0); font-weight: bold;"">slice</span><span class=""token"" style=""color: rgb(15, 43, 61);"">(</span><span class=""token"" style=""color: rgb(2, 124, 124);"">0</span><span class=""token"" style=""color: rgb(15, 43, 61);"">,</span><span class=""token"" style=""color: rgb(2, 124, 124);"">1</span><span class=""token"" style=""color: rgb(15, 43, 61);"">)</span><span class=""token"" style=""color: rgb(15, 43, 61);"">.</span><span class=""token method property-access"" style=""color: rgb(153, 0, 0); font-weight: bold;"">toUpperCase</span><span class=""token"" style=""color: rgb(15, 43, 61);"">(</span><span class=""token"" style=""color: rgb(15, 43, 61);"">)</span><span class=""token"" style=""color: rgb(15, 43, 61);"">;</span><span>\n</span><span></span><span class=""token console"" style=""color: rgb(68, 85, 136); font-weight: bold;"">console</span><span class=""token"" style=""color: rgb(15, 43, 61);"">.</span><span class=""token method property-access"" style=""color: rgb(153, 0, 0); font-weight: bold;"">log</span><span class=""token"" style=""color: rgb(15, 43, 61);"">(</span><span>string2</span><span class=""token"" style=""color: rgb(15, 43, 61);"">)</span><span class=""token"" style=""color: rgb(15, 43, 61);"">;</span><span>     </span><span class=""token"" style=""color: rgb(113, 113, 101); font-style: italic;"">// ""H""</span></code></div></div></pre>\n<p class=""chakra-text css-o3oz8b"">Here, I chain <code class=""chakra-code css-1u83yg1"">toUpperCase()</code> to the result of <code class=""chakra-code css-1u83yg1"">string1.slice(0,1)</code>. <code class=""chakra-code css-1u83yg1"">string1.slice(0,1)</code> returns <code class=""chakra-code css-1u83yg1"">h</code> and <code class=""chakra-code css-1u83yg1"">.toUpperCase()</code> turns the <code class=""chakra-code css-1u83yg1"">h</code> into an <code class=""chakra-code css-1u83yg1"">H</code>.</p></div>']",[],https://www.youtube.com/embed/AGIGUZLNlEU
Intro to AJAX,Intro to AJAX,Lesson 2: Building the Move Planner App,2.6  CORS,[],[],
