course,sub_course,module,sub_module,content_html_list,img_list,video_url
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.1  Intro,[],[],https://www.youtube.com/embed/sK8lJ4uI9qE
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.2  Course Map,"['<div class=""ureact-markdown css-tc5hjw""><h2 class=""chakra-heading css-fz7yxd"">Hello! You must be here to learn Java!</h2>\n<p class=""chakra-text css-o3oz8b"">This course will give you a foundation in Java syntax that will start your journey towards becoming a successful Java developer.</p>\n<p class=""chakra-text css-o3oz8b""><strong>Java developers are in high demand</strong> in the job market because Java works on any platform, and it’s the core language for building Android apps.</p>\n<p class=""chakra-text css-o3oz8b"">There are so many cool things you can build with Java, but to get there, you’ll have to start from the beginning!</p>\n<p class=""chakra-text css-o3oz8b""><img alt=""examples of Java apps"" src=""http://i.imgur.com/LQnwVTD.png"" class=""chakra-image css-0"" node=""[object Object]"">\n<em class=""chakra-text css-o3oz8b"">Examples of a game, a platform, and an application that use Java, from left to right: Minecraft, Android, NASA Worldwind.</em></p>\n<h3 class=""chakra-heading css-k57syw"">Course Structure</h3>\n<p class=""chakra-text css-o3oz8b"">In this first lesson, you’ll program your computer to remember numbers and text using <strong>variables</strong>, and you’ll get to use variables to do lots of calculations that us humans can’t do!</p>\n<p class=""chakra-text css-o3oz8b"">In lesson 2, you’ll get to teach your computer how to make decisions when faced with multiple choices. This is called conditional programming or <strong>control flow</strong>.</p>\n<p class=""chakra-text css-o3oz8b"">Then in lesson 3, you’ll get to write your own set of instructions for computers to follow using <strong>functions</strong>.</p>\n<p class=""chakra-text css-o3oz8b"">In Lesson 4, you’ll write programs that can repeat instructions over and over, billions of times if needed, using <strong>loops</strong>.</p>\n<p class=""chakra-text css-o3oz8b"">By the end of Lesson 4, you should be ready to work on your first big project! You’ll need to install some tools to get started, but don’t worry, we’ll walk you through that step by step.</p>\n<p class=""chakra-text css-o3oz8b"">Ready? Well then, <strong>let’s start coding!</strong></p>\n<p class=""chakra-text css-o3oz8b""><img alt=""Course Map image"" src=""https://media.giphy.com/media/xT8qB9qqyDL7yzoKIM/giphy.gif"" class=""chakra-image css-0"" node=""[object Object]""></p></div>']",['http://i.imgur.com/LQnwVTD.png'],
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.3  Hello World,[],[],https://www.youtube.com/embed/kMrC8mt0m8A
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.4  Print a Line,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Try to out put ""Java Rocks!""</p></div>']",[],
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.5  The Memory Game,[],[],https://www.youtube.com/embed/OdZcminmyro
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.6  Variables,[],[],https://www.youtube.com/embed/TGw5szyZk88
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.7  Updating Variables,[],[],https://www.youtube.com/embed/JNAAR9ANRhs
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.8  Third Bus Stop,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Note that Java allows you to write multiple instructions in the same statement!</p></div>', '<div class=""ureact-markdown css-tc5hjw""><hr aria-orientation=""horizontal"" aria-hidden=""true"" class=""chakra-divider css-zmjcvi"">\n<h1 class=""chakra-heading css-1b892vb"">Updating vs Setting variables</h1>\n<p class=""chakra-text css-o3oz8b"">When changing a variable value, you could either set it to a new value all together, or update it based on its previous value.</p>\n<p class=""chakra-text css-o3oz8b"">For example, if we have a variable called time and we want to add 5 to it, we write:</p>\n<p class=""chakra-text css-o3oz8b""><code class=""chakra-code css-1u83yg1"">time = time + 5;</code></p>\n<p class=""chakra-text css-o3oz8b"">This will <strong>Add</strong> 5 to whatever value time already had!</p>\n<p class=""chakra-text css-o3oz8b"">But if we want to set time to 5 without caring about what the current value was, we write:</p>\n<p class=""chakra-text css-o3oz8b""><code class=""chakra-code css-1u83yg1"">time = 5;</code></p></div>']",[],https://www.youtube.com/embed/gkh7spDZvPc
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.9  Displaying the Output,[],[],https://www.youtube.com/embed/1TuuWTOviOg
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.10  Remembering the Stops,[],[],https://www.youtube.com/embed/9g-aMXGqkis
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.11  The Bus Driver,[],[],https://www.youtube.com/embed/0b4kkAd7n6M
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.12  Variables (Strings),[],[],https://www.youtube.com/embed/NGRBCm0Pxyg
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.13  String Concatenation,[],[],https://www.youtube.com/embed/euvUmlJd1H8
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.14  String Operations,[],[],https://www.youtube.com/embed/Lc5L5RY8Oco
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.15  Variable Names,[],[],https://www.youtube.com/embed/p8naXcgIyZo
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.16  Data Types,[],[],https://www.youtube.com/embed/u-MrueO6Di0
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.17  Data Types Quiz,[],[],https://www.youtube.com/embed/R8baXQ2eoEU
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.18  All the Maths,[],[],https://www.youtube.com/embed/ddwQ8IOXY4E
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.19  Casting,[],[],https://www.youtube.com/embed/c1oyLnugYdA
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.20  Comments,[],[],https://www.youtube.com/embed/Y2c_rcI3iCU
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.21  The 5th Subject,[],[],
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.22  Track the Values,[],[],https://www.youtube.com/embed/T6uYDAyPaUk
Intro to Java: Functional Programming,Intro to Java: Functional Programming,Lesson 1: Variables and Data Types,1.23  Summary,[],[],https://www.youtube.com/embed/7q2RiO9nuEg
