course,sub_course,module,sub_module,content_html_list,img_list,video_url
Responsive Web Design Fundamentals,Responsive Web Design Fundamentals,Lesson 1: Why Responsive?,1.1  Sites On Mobile,[],[],https://www.youtube.com/embed/m3IA3DVnv6Y
Responsive Web Design Fundamentals,Responsive Web Design Fundamentals,Lesson 1: Why Responsive?,1.2  Share Your Great & Awful Sites,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">The first step to developing a responsive site is to get inspired by other responsive sites. Do some research by surfing the web! When you\'ve found a site that responds well to browser of different dimensions, type in its URL below (if you\'re feeling stuck, feel free to check out an example at the bottom of this page).</p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">A great example of a responsive site is:</p></div>', '<div class=""ureact-markdown css-tc5hjw""><h2 class=""chakra-heading css-fz7yxd"">Responsive Site Example</h2></div>']",[],https://www.youtube.com/embed/Lh3bRYwUu-U
Responsive Web Design Fundamentals,Responsive Web Design Fundamentals,Lesson 1: Why Responsive?,1.3  Intro to Project,[],[],https://www.youtube.com/embed/eCFd9YxJHOo
Responsive Web Design Fundamentals,Responsive Web Design Fundamentals,Lesson 1: Why Responsive?,"1.4  Pan, Zoom, Touch, Ick",[],[],https://www.youtube.com/embed/n8wygTVQzsg
Responsive Web Design Fundamentals,Responsive Web Design Fundamentals,Lesson 1: Why Responsive?,"1.5  Emulators, Simulators and Real Devices","['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Want to test with different browsers in the cloud? Try <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://www.browserstack.com/"">BrowserStack<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a>.</p></div>']",[],https://www.youtube.com/embed/DBv_sU-mgVU
Responsive Web Design Fundamentals,Responsive Web Design Fundamentals,Lesson 1: Why Responsive?,1.6  Setting up Chrome's Dev Tools,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">*<em class=""chakra-text css-o3oz8b"">Are you using a Windows PC? The shortcut has been updated (see below)</em></p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Let\'s recap!</p>\n<h2 class=""chakra-heading css-fz7yxd"">Accessing Chrome\'s Developer Tools</h2>\n<p class=""chakra-text css-o3oz8b"">To access Chrome\'s Developer Tools, using the following shortcuts (depending on which operating system you are using):</p>\n<p class=""chakra-text css-o3oz8b""><strong>Mac</strong>:</p>\n<p class=""chakra-text css-o3oz8b""><code class=""chakra-code css-1u83yg1"">⌘</code> + <code class=""chakra-code css-1u83yg1"">⌥</code> + <code class=""chakra-code css-1u83yg1"">J</code></p>\n<p class=""chakra-text css-o3oz8b""><strong>Windows</strong>:</p>\n<p class=""chakra-text css-o3oz8b""><code class=""chakra-code css-1u83yg1"">Ctrl</code> + <code class=""chakra-code css-1u83yg1"">Shift</code> + <code class=""chakra-code css-1u83yg1"">J</code></p>\n<p class=""chakra-text css-o3oz8b"">(Google has replaced the shortcut from in the video with the shortcut above)</p>\n<p class=""chakra-text css-o3oz8b"">For a comprehensive guide of Chrome\'s shortcuts, check out <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://support.google.com/chrome/answer/157179?hl=en"">this link<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a>.</p></div>', '<div class=""ureact-markdown css-tc5hjw""><h2 class=""chakra-heading css-fz7yxd"">Toggling the Device Toolbar (Emulator)</h2>\n<p class=""chakra-text css-o3oz8b"">Once you have Dev Tools opened in Chrome, look at the top left-hand corner of the new window that opens. Go ahead and click on the icon that looks like a phone and tablet (as seen below, directly above the word ""Toggle""):</p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Alternatively, you can use the shortcut <code class=""chakra-code css-1u83yg1"">⌘</code> + <code class=""chakra-code css-1u83yg1"">⇧</code> + <code class=""chakra-code css-1u83yg1"">M</code> (or <code class=""chakra-code css-1u83yg1"">Ctrl</code> + <code class=""chakra-code css-1u83yg1"">Shift</code> + <code class=""chakra-code css-1u83yg1"">M</code> on Windows) to toggle the Device Toolbar as well. Note that this shortcut only works when Dev Tools is already open.</p>\n<p class=""chakra-text css-o3oz8b"">After toggling the Device Toolbar, your screen should look something like this:</p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Feel free to use the dropdown menu to emulate a device of your choice!</p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">For additional options, such as setting the device pixel ratio (DPR), you can always click on the ""more options"" button (i.e., the three dots/ellipsis icon) on the top right-hand corner of the page view:</p></div>']","['https://video.udacity-data.com/topher/2018/October/5bbd3f27_screen-shot-2018-10-09-at-4.39.33-pm/screen-shot-2018-10-09-at-4.39.33-pm.png', 'https://video.udacity-data.com/topher/2018/October/5bbd3f85_screen-shot-2018-10-09-at-4.48.56-pm/screen-shot-2018-10-09-at-4.48.56-pm.png', 'https://video.udacity-data.com/topher/2018/October/5bbd3fc3_screen-shot-2018-10-09-at-4.54.00-pm/screen-shot-2018-10-09-at-4.54.00-pm.png', 'https://video.udacity-data.com/topher/2018/October/5bbd9e7d_screen-shot-2018-10-09-at-11.35.42-pm/screen-shot-2018-10-09-at-11.35.42-pm.png']",https://www.youtube.com/embed/sDcglPBR34Q
Responsive Web Design Fundamentals,Responsive Web Design Fundamentals,Lesson 1: Why Responsive?,1.7  Remote Debugging Intro,[],[],https://www.youtube.com/embed/fz_5XcEDcYo
Responsive Web Design Fundamentals,Responsive Web Design Fundamentals,Lesson 1: Why Responsive?,1.8  Setup for Mobile,"['<div class=""ureact-markdown css-tc5hjw""><ul role=""list"" class=""css-19qh3zo""><li class=""css-cvpopp""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://www.google.com/chrome/browser/canary.html"">Download Chrome Canary<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> (it won\'t affect your existing Chrome installation)</li><li class=""css-cvpopp""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://developers.google.com/web/tools/chrome-devtools/debug/remote-debugging/remote-debugging?hl=en"">Remote debugging Android devices with Chrome<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></li></ul>\n<h3 class=""chakra-heading css-k57syw"">What is Chrome Canary and why should I use it?</h3>\n<p class=""chakra-text css-o3oz8b"">Chrome Canary is the developer version of Chrome. It looks and acts like the regular Chrome browser, but it includes new and experimental features that haven\'t been released yet. We recommend analyzing websites with Canary to take advantage of the latest tech. However, be warned that Canary isn\'t guaranteed to be stable, so expect crashes and occasional bugs.</p>\n<h3 class=""chakra-heading css-k57syw"">Do I have to test on mobile?</h3>\n<p class=""chakra-text css-o3oz8b"">For the purposes of this course, no. But testing your websites on mobile is a best practice, and if you have the means to do so we highly recommend it.</p></div>']",[],https://www.youtube.com/embed/8VzfRyDf8bo
Responsive Web Design Fundamentals,Responsive Web Design Fundamentals,Lesson 1: Why Responsive?,1.9  Using Dev Tools on Mobile,"['<div class=""ureact-markdown css-tc5hjw""><ul role=""list"" class=""css-19qh3zo""><li class=""css-cvpopp""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://www.google.com/intl/en/chrome/browser/canary.html"">Download and install Chrome Canary<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> (it will not interfere with your regular Chrome)</li><li class=""css-cvpopp"">On Linux, the <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://www.chromium.org/getting-involved/dev-channel"">Chromium Dev channel<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> is similar to Canary.</li><li class=""css-cvpopp"">Learn about <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://developers.google.com/web/tools/chrome-devtools/debug/remote-debugging/remote-debugging"">Remote Debugging on Android with Chrome<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></li></ul>\n<h3 class=""chakra-heading css-k57syw"">What is Chrome Canary and why should I use it?</h3>\n<p class=""chakra-text css-o3oz8b"">Chrome Canary is the developer version of Chrome. It looks and acts like the regular Chrome browser, but it includes new and experimental features that haven\'t been released yet. We recommend analyzing websites with Canary to take advantage of the latest tech. However, be warned that Canary isn\'t guaranteed to be stable, so expect crashes and occasional bugs.</p></div>']",[],https://www.youtube.com/embed/O091HfA9y_o
Responsive Web Design Fundamentals,Responsive Web Design Fundamentals,Lesson 1: Why Responsive?,1.10  Mobile Tools for iOS,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://github.com/google/ios-webkit-debug-proxy"">iOS WebKit Debug Proxy<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></p>\n<p class=""chakra-text css-o3oz8b"">Please note that in the community, there is a discussion continuing about <code class=""chakra-code css-1u83yg1"">ios-webkit-debug-proxy</code>. Depending on your version of canary, if you\'re using it, it might take a lot of time and some students suggest trying Safari Dev Tools and point to links like this:</p>\n<p class=""chakra-text css-o3oz8b""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://www.smashingmagazine.com/2014/09/testing-mobile-emulators-simulators-remote-debugging/"">https://www.smashingmagazine.com/2014/09/testing-mobile-emulators-simulators-remote-debugging/<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></p>\n<p class=""chakra-text css-o3oz8b"">Remember you can run in simulator mode in Chrome Dev Tools.</p></div>']",[],https://www.youtube.com/embed/uNZYNw4F5DU
