course,sub_course,module,sub_module,content_html_list,img_list,video_url
Web Tooling & Automation,Web Tooling & Automation,Lesson 1: Introduction,1.1  Course Intro,[],[],https://www.youtube.com/embed/fXZXwCe6sgU
Web Tooling & Automation,Web Tooling & Automation,Lesson 1: Introduction,1.2  Cost Effectiveness,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Which of the following optimizations are worth doing considering time and risk?</p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">10 percent speedup in launching editor (takes 1 hour)</p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Post-process that tests your app on a mobile screen (takes 1 day)</p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">An editor plugin that auto-closes your HTML tags (takes 30 mins)</p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">A script that generates images for hi-res devices (takes 4 hours)</p></div>']",[],
Web Tooling & Automation,Web Tooling & Automation,Lesson 1: Introduction,1.3  Common Sense,[],[],https://www.youtube.com/embed/qw_OdJKnvJg
Web Tooling & Automation,Web Tooling & Automation,Lesson 1: Introduction,1.4  On to the course!,[],[],https://www.youtube.com/embed/iS414e3SPSs
Web Tooling & Automation,Web Tooling & Automation,Lesson 2: Productive Editing,2.1  Intro,[],[],https://www.youtube.com/embed/X1AtqmPGK-0
Web Tooling & Automation,Web Tooling & Automation,Lesson 2: Productive Editing,2.2  From Notepad to IDE,[],[],https://www.youtube.com/embed/_Yx-3QNP86Y
Web Tooling & Automation,Web Tooling & Automation,Lesson 2: Productive Editing,2.3  Set Up Your Editor,"['<div class=""ureact-markdown css-tc5hjw""></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://www.sublimetext.com/"">Sublime Text Editor<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a></p>\n<p class=""chakra-text css-o3oz8b"">You can think of a symlink as a shortcut for the time being, although there are lots of other options. If you\'d like to know more, check it out on <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://en.wikipedia.org/wiki/Symbolic_link"">Wikipedia<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a>.</p></div>']",[],https://www.youtube.com/embed/tXPsR4C8NMs
Web Tooling & Automation,Web Tooling & Automation,Lesson 2: Productive Editing,2.4  Built-In Editor Magic,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">In the first couple of days of using a new editor, try out lots of build-in shortcuts and features, even if they seem overkill. Try them all out and observe yourself. Which shortcuts stick, which do you have to force yourself to use?</p></div>']",[],https://www.youtube.com/embed/_ujaIbZq69k
Web Tooling & Automation,Web Tooling & Automation,Lesson 2: Productive Editing,2.5  Shortcuts,"['<div class=""ureact-markdown css-tc5hjw""></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">For an exhaustive list of keyboard shortcuts for <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://www.sublimetext.com/"">Sublime Text<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a>, check out the unofficial documentation for <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://docs.sublimetext.info/en/latest/reference/keyboard_shortcuts_osx.html"">Mac<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> and <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""http://docs.sublimetext.info/en/latest/reference/keyboard_shortcuts_win.html"">Windows/Linux<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a>.</p></div>']",[],https://www.youtube.com/embed/qxUjOl8hG3g
Web Tooling & Automation,Web Tooling & Automation,Lesson 2: Productive Editing,2.6  Extending Your Editor,"['<div class=""ureact-markdown css-tc5hjw""></div>']",[],https://www.youtube.com/embed/St6pvD_TsWo
Web Tooling & Automation,Web Tooling & Automation,Lesson 2: Productive Editing,2.7  Using the Palette,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Which shortcut converts text to lowercase?</p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b""><code class=""chakra-code css-1u83yg1"">⌃</code> + <code class=""chakra-code css-1u83yg1"">L</code></p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b""><code class=""chakra-code css-1u83yg1"">⌘</code> + <code class=""chakra-code css-1u83yg1"">⇧</code> + <code class=""chakra-code css-1u83yg1"">L</code></p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b""><code class=""chakra-code css-1u83yg1"">⌘</code> + <code class=""chakra-code css-1u83yg1"">K</code>, <code class=""chakra-code css-1u83yg1"">⌘</code> + <code class=""chakra-code css-1u83yg1"">L</code>,</p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b""><code class=""chakra-code css-1u83yg1"">⌘</code> + <code class=""chakra-code css-1u83yg1"">Space</code>, <code class=""chakra-code css-1u83yg1"">L</code></p></div>']",[],
Web Tooling & Automation,Web Tooling & Automation,Lesson 2: Productive Editing,2.8  Lesson Outro,[],[],https://www.youtube.com/embed/F4Yf_AND6Ck
Web Tooling & Automation,Web Tooling & Automation,Lesson 3: Powerful Builds,3.1  Lesson Intro,[],[],https://www.youtube.com/embed/0p_FvYOkB1o
Web Tooling & Automation,Web Tooling & Automation,Lesson 3: Powerful Builds,3.2  Overview of Build Tools,[],[],https://www.youtube.com/embed/rSTR4uET2EA
Web Tooling & Automation,Web Tooling & Automation,Lesson 3: Powerful Builds,3.3  Core Qualities of a Great Build Tool,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">What are the core qualities of a good build tool?</p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Fast execution / build time</p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Vibrant plugin community</p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Modular and shareable tasks</p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Short and concise API</p></div>']",[],
Web Tooling & Automation,Web Tooling & Automation,Lesson 3: Powerful Builds,3.4  Getting Started with Gulp,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b""><a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://github.com/gulpjs/gulp/blob/master/docs/getting-started.md"">Gulp<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> Installation Instructions</p></div>']",[],https://www.youtube.com/embed/glH_tLlc6bQ
